EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-1140.7,-5209.1,-2306.4,-4415.1,-1776.6,2679.1,-2452.4,-593.4
-1125.5,-5197,-2289.6,-4401.1,-1766.3,2690,-2443.8,-581.5
-1124.3,-5198.1,-2291.2,-4402.4,-1769,2676.7,-2448.6,-581.9
-1137,-5212.7,-2307.8,-4413.9,-1781.4,2657.9,-2458.9,-592.7
-1170.8,-5236.6,-2331.4,-4436.2,-1803.6,2628.6,-2483.9,-617
-1189.2,-5258.7,-2356,-4459.7,-1820.2,2594.2,-2508.8,-641.7
-1192.2,-5258.2,-2355.9,-4465.3,-1822.5,2594.8,-2511.6,-643.1
-1186.3,-5242.1,-2344.7,-4457.9,-1817.8,2598.9,-2501.3,-638.2
-1165.6,-5220.7,-2323.2,-4439.2,-1797.6,2620.9,-2477.3,-618.5
-1145.8,-5199.1,-2295.4,-4415.7,-1776.6,2642.6,-2453.5,-598.2
-1137.7,-5195.1,-2283.7,-4405.6,-1767,2653.3,-2444.1,-586.6
-1140.8,-5208.2,-2292.9,-4411.1,-1772.8,2653,-2452.2,-590.3
-1153.5,-5226.6,-2315.1,-4430.6,-1789.8,2641.7,-2471.2,-605
-1172.6,-5247.1,-2343.1,-4457.9,-1817.2,2619.3,-2494.2,-631.3
-1179.7,-5259.8,-2361.1,-4470.5,-1827.4,2616.4,-2508.6,-639.5
-1187.9,-5257.1,-2354.2,-4466.9,-1821.9,2617.6,-2508.5,-637.8
-1175.1,-5238.5,-2332.5,-4450.4,-1802.8,2625.3,-2508.9,-629
-1152.6,-5210.5,-2305.1,-4425.6,-1777.6,2652.3,-2468.1,-603
-1134.3,-5196.4,-2284.9,-4405.4,-1760.6,2670.9,-2440.2,-584.8
-1132.8,-5197.8,-2285.3,-4405.4,-1764,2672.5,-2441.7,-585.2
-1139.7,-5209.8,-2299.1,-4414,-1771.8,2669.6,-2454.6,-591.6
-1162.4,-5236.3,-2326.3,-4434.5,-1796.1,2648.3,-2481.7,-614.9
