EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
4191.5,9404.8,5152.7,-2004.6,93750,3683.2,16459.1,3820.7
4186.6,9400.3,5148.3,-2007.1,93750,3679.6,16466.1,3818.4
4183.6,9397.9,5147.2,-2009.8,93750,3678.6,16471.1,3816.3
4183.4,9399.6,5149,-2009.9,93750,3679.6,16473.7,3814.5
4185.1,9402.9,5148.6,-2008.1,93750,3682.4,16476.2,3813.8
4187.7,9406.7,5148.4,-2006.2,93750,3685.6,16479,3813.3
4191,9409.3,5150,-2005.3,93750,3688,16482.4,3814
4191.3,9411.2,5146.9,-2004.9,93750,3687.3,16487,3814.4
4188.5,9404.9,5147.8,-2007.7,93750,3681.5,16492.3,3811.6
4189.9,9401.5,5151,-2016.4,93750,3674.8,16479.6,3788.8
4187.7,9404.8,5151.6,-2014.4,93750,3677.1,16461.8,3777.8
4176.9,9401,5156.1,-2013.3,93750,3676.9,16460.8,3783.1
4165.8,9401.1,5166.6,-2011.3,93750,3681.4,16459.6,3787.8
4168.5,9405.6,5162.3,-2006.3,93750,3686.3,16458.9,3792.7
4174.5,9408.1,5156.5,-2004.2,93750,3687.1,16461.4,3797.5
4184.7,9405.3,5154.6,-2006,93750,3686.2,16465.2,3800.2
4188.1,9399.6,5145.4,-2008.8,93750,3684,16477.7,3806.6
4182.7,9389.8,5133.1,-2012.9,93750,3673.1,16515.9,3823.4
4181.6,9383.8,5134.1,-2016.7,93750,3661.4,16537.3,3822.9
4175.5,9381.7,5147.7,-2020.1,93750,3658.3,16542.9,3815.2
4180.5,9393.7,5133.5,-2016,93750,3666.5,16540.3,3808.1
4189.2,9405,5125.9,-2008.9,93750,3676.2,16528.5,3799.7
4184,9405.5,5139.1,-2005.4,93750,3678.8,16523,3799.3
4181.4,9405,5144.4,-2005.1,93750,3680.7,16523.5,3803.2
4175.5,9407.4,5142,-2003.8,93750,3679.4,16528.7,3806.8
4175.2,9402.1,5137.9,-2002.6,93750,3673.6,16537.1,3806.4
4178.7,9394.2,5136.6,-2005.9,93750,3670.9,16543.6,3808.7
4176.3,9393.4,5132.8,-2009.2,93750,3668.2,16550.3,3809.6
4175.2,9394.8,5134.2,-2010.5,93750,3669.5,16550.4,3806.3
4177.4,9401.5,5135.6,-2009.3,93750,3676,16540.3,3799.4
4179.1,9405.6,5138.2,-2007.6,93750,3680.1,16535.3,3798.8
4178.1,9407.6,5142,-2006.4,93750,3682.6,16536.9,3802.1
4173,9408.9,5144.2,-2005.4,93750,3684.3,16542.3,3807.4
4169.8,9404.2,5142.6,-2006.6,93750,3683.4,16565.7,3829.2
4167.9,9395.4,5138.9,-2015.7,93750,3678.6,16603.2,3855.4
4168.7,9394.3,5137.6,-2018.9,93750,3675.9,16616.9,3849.8
4174.8,9395,5131.2,-2016.6,93750,3676.7,16617.8,3838.2
4177,9398.2,5129.4,-2014.7,93750,3679,16616.4,3830.1
4178.6,9403.7,5138.5,-2012.1,93750,3684,16613,3825.5
4183.5,9406.2,5143.9,-2009.4,93750,3685.2,16611.5,3823
4188.7,9408.5,5145,-2008.3,93750,3687,16608.4,3817.8
4195.7,9410.6,5149.4,-2011.4,93750,3686.8,16585.7,3794.1
4199.8,9408.6,5156.5,-2008.2,93750,3687.4,16564.7,3784.3
4193.1,9404.9,5151.1,-2006.5,93750,3683.2,16565.3,3790.6
4186.2,9401.9,5145.4,-2007.2,93750,3682,16567,3795.6
4182.7,9404.6,5139.9,-2004.7,93750,3686.3,16564.4,3799.7
4176.3,9404.3,5148.3,-2002.7,93750,3687.3,16563.9,3804.2
4174.2,9405.4,5155.2,-2002.4,93750,3689.9,16563.5,3807
4178.6,9409.1,5154.7,-2001.2,93750,3690.6,16567.7,3811.9
4179.3,9400.5,5157.2,-2005,93750,3681.7,16591.8,3823.4
4177.2,9397.7,5162.4,-2008.8,93750,3676.1,16604.1,3822.1
4185,9408.6,5131.9,-2006.2,93750,3680.1,16605.5,3818
4186.1,9408.1,5125.5,-2006.3,93750,3681.8,16601.8,3813.3
4182.6,9407.9,5139.8,-2006.5,93750,3684,16588.9,3803.2
4179,9410.2,5145,-2004.8,93750,3684.7,16580.9,3800.3
4181.5,9411.2,5151.5,-2003.6,93750,3685.2,16577.6,3802.3
4181.2,9412.4,5157,-2002.7,93750,3687.8,16574.6,3803.4
4181,9412.7,5156,-1999.5,93750,3693.4,16568.6,3799.9
4185.5,9413.2,5150.7,-1997.8,93750,3695.5,16568,3805.2
4183.9,9408.4,5151,-2001,93750,3690.5,16573,3809.9
