EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-18999.9,-15927,-18201.9,-26828.8,-12783.9,-8507.8,93750,-14294.8
-19000.4,-15926.7,-18207,-26833.9,-12780.4,-8510.7,93750,-14296.9
-19004.6,-15927.7,-18208.6,-26842.8,-12782.1,-8516.6,93750,-14303.4
-19010.4,-15927.8,-18208.7,-26851.4,-12782.9,-8517.9,93750,-14306.3
-19014.4,-15928.1,-18212.6,-26859.9,-12785.4,-8523.4,93750,-14311.8
-19015.8,-15924.8,-18217.6,-26862.8,-12798.3,-8536.4,93750,-14326.3
-19018.9,-15923.3,-18219.8,-26864.1,-12808.5,-8540.8,93750,-14331.2
-19022.1,-15925.9,-18214.5,-26865.8,-12808.3,-8540.1,93750,-14329.3
-19030.4,-15925.5,-18215,-26866.7,-12801.1,-8539.2,93750,-14323.7
-19044.9,-15917.6,-18217.3,-26864.1,-12781.9,-8534,93750,-14311
-19040.9,-15921.4,-18215.4,-26862.3,-12781.2,-8532.4,93750,-14312
-19036.1,-15925.6,-18217.6,-26862.7,-12786.3,-8531.8,93750,-14314.6
-19033.7,-15928.5,-18215.9,-26862.3,-12790.6,-8530.5,93750,-14315.6
-19033.1,-15927.6,-18209.1,-26860.2,-12796.4,-8530.4,93750,-14317.1
-19032.6,-15928.2,-18208,-26860.6,-12798.3,-8529.9,93750,-14316.9
-19029.1,-15930.8,-18207,-26861.2,-12796.5,-8527.5,93750,-14314.3
-19028.7,-15939.8,-18214.2,-26860.5,-12794,-8524,93750,-14309.4
-19029.8,-15957.4,-18220.8,-26854.4,-12792.9,-8517.9,93750,-14301.1
-19031.3,-15956.1,-18216.8,-26855.1,-12793.5,-8523.9,93750,-14306
-19032.3,-15955.4,-18217.5,-26857.6,-12794.6,-8528.2,93750,-14311.6
-19035.4,-15950,-18218.9,-26855.3,-12798.2,-8530.7,93750,-14317.6
-19044.5,-15928.7,-18229.1,-26852.5,-12815.9,-8540.4,93750,-14328.9
-19044.5,-15924.5,-18233,-26860.5,-12819.5,-8539.8,93750,-14329.3
-19041.3,-15929.1,-18230.7,-26867.5,-12812.6,-8535.8,93750,-14324.9
-19037.2,-15938.8,-18227.3,-26873.5,-12804.3,-8531.6,93750,-14320.7
-19027.5,-15964.3,-18218,-26879.1,-12782.7,-8518.7,93750,-14308.3
-19020,-15979.3,-18208.7,-26879.8,-12764.6,-8514.3,93750,-14300.9
-19013.5,-15987.8,-18203.2,-26876,-12756.3,-8513.7,93750,-14299.2
-19011.4,-15986.2,-18193.5,-26871.1,-12761.3,-8519.7,93750,-14303.7
-19009.3,-15984.2,-18184.4,-26872.6,-12767.2,-8521.4,93750,-14306.3
-19009.5,-15982.2,-18181.2,-26868.8,-12771,-8520.4,93750,-14305.9
-19012.2,-15978.9,-18182.2,-26861.9,-12774.5,-8519.3,93750,-14304.4
-19013.4,-15977.3,-18182.7,-26858.5,-12776.7,-8518.9,93750,-14302.4
-19007.3,-15980.9,-18180.2,-26858.8,-12777.9,-8516.7,93750,-14300.2
-19007.6,-15980.6,-18182.4,-26858.4,-12776.6,-8517,93750,-14301
-19013.4,-15978.6,-18184.2,-26856.1,-12776.1,-8517.8,93750,-14301.4
-19016.4,-15977.8,-18181.9,-26853.6,-12778.8,-8521.7,93750,-14305.4
-19017.3,-15970.5,-18185,-26848,-12790.8,-8532.5,93750,-14318.3
-19019.8,-15966.3,-18190.8,-26847,-12800.5,-8535.5,93750,-14322.3
-19020.2,-15966.7,-18197,-26847.5,-12800.2,-8534.3,93750,-14319.8
-19022.7,-15963.5,-18201.9,-26848.4,-12793.4,-8529.9,93750,-14312.6
-19032.1,-15952.3,-18207.7,-26848.9,-12774.7,-8521.9,93750,-14298.3
-19027.8,-15953.1,-18200.7,-26853.1,-12770.3,-8517.8,93750,-14295.7
-19022.7,-15955.2,-18201.5,-26857.1,-12772.2,-8516.2,93750,-14296.5
-19021,-15955.1,-18206.1,-26857.5,-12774.7,-8514.7,93750,-14296.9
-19022.6,-15951.6,-18210,-26856.9,-12781.5,-8518,93750,-14301.4
-19025.4,-15950.4,-18207.5,-26856.7,-12784.8,-8519.3,93750,-14303.4
-19027.2,-15951.6,-18202.5,-26857.1,-12785.2,-8519,93750,-14303.5
-19028.1,-15957.5,-18200.9,-26857.2,-12786.3,-8518,93750,-14302.2
-19028.6,-15966.5,-18199.5,-26851.3,-12791.1,-8515.3,93750,-14298.7
-19028.9,-15963.3,-18196,-26851.9,-12790.6,-8518.1,93750,-14300.6
-19029,-15962.6,-18194.8,-26855.3,-12788.3,-8520.8,93750,-14302.8
-19031.2,-15959.1,-18192.1,-26855.4,-12790.3,-8524.5,93750,-14306.5
-19042.5,-15940.4,-18198.7,-26851.9,-12809,-8538.6,93750,-14320
-19046.3,-15938,-18204.9,-26856.2,-12816.7,-8542.5,93750,-14325.1
-19044.5,-15941.6,-18200.8,-26867.7,-12813.7,-8540.9,93750,-14324.5
-19038,-15948.3,-18194.7,-26881.6,-12807.4,-8536.4,93750,-14321.4
-19027.1,-15968.2,-18190.7,-26879.4,-12787.1,-8523.9,93750,-14310.9
-19020.1,-15981.7,-18186.2,-26871.8,-12768.3,-8517.1,93750,-14302.2
-19016.2,-15991,-18174.4,-26869,-12759.1,-8513.1,93750,-14297.5
-19016.1,-15990.7,-18171.1,-26864.2,-12761.3,-8513.5,93750,-14297.5
-19015,-15989.1,-18171.7,-26858.3,-12764.4,-8515.8,93750,-14299.8
-19013,-15987.9,-18175.5,-26853.8,-12767.9,-8517.8,93750,-14302.6
-19010.8,-15985.8,-18179,-26853.6,-12771.7,-8519.2,93750,-14304.8
-19010.5,-15985.5,-18181.6,-26854.6,-12775.1,-8520,93750,-14305.1
-19006.1,-15990.1,-18181.3,-26855,-12777.7,-8517.8,93750,-14303.1
-19004,-15988,-18182.7,-26851.7,-12775.6,-8514.3,93750,-14302.1
-19006.9,-15984.7,-18185.6,-26848,-12773.1,-8512.5,93750,-14300
-19010.5,-15983.3,-18183.5,-26846.4,-12772.6,-8514.1,93750,-14300.3
-19015.2,-15976.2,-18183.2,-26847.1,-12783.3,-8525.6,93750,-14311.4
-19020.8,-15970.8,-18182.8,-26850.1,-12792.8,-8530.3,93750,-14316.1
-19025.5,-15971,-18182,-26854.9,-12794.1,-8532.5,93750,-14317.4
-19032.5,-15966.9,-18184.7,-26856.1,-12790.5,-8530.1,93750,-14313.8
-19045.4,-15954.8,-18190.6,-26853.7,-12775.7,-8525.3,93750,-14303.1
-19040.1,-15953.9,-18188,-26850.2,-12773.2,-8519.7,93750,-14299.7
-19035.1,-15954.9,-18186.5,-26850.1,-12775.3,-8516.5,93750,-14298.1
-19030.7,-15956.2,-18180.2,-26851.3,-12776.8,-8516.2,93750,-14297.5
-19028.7,-15954.7,-18178.3,-26852.5,-12782.1,-8518.2,93750,-14300.5
-19029.7,-15955.3,-18182.8,-26854.1,-12786.4,-8520.3,93750,-14303.3
-19030.6,-15956.9,-18186.5,-26856.2,-12788.9,-8521.7,93750,-14304.7
-19030.8,-15961.3,-18188.3,-26856.1,-12790.8,-8521.6,93750,-14304.2
-19032.8,-15968.8,-18195.8,-26851,-12796.7,-8519.1,93750,-14300.7
-19035.3,-15963.4,-18198.9,-26850.9,-12796.4,-8519.1,93750,-14301.4
-19034.9,-15962.8,-18193,-26855,-12793.1,-8519.1,93750,-14301.9
-19034.7,-15960.6,-18184.5,-26858.9,-12793.9,-8521.5,93750,-14304.3
-19041.6,-15942.9,-18188,-26858.7,-12810.7,-8533.5,93750,-14315.8
-19042.3,-15942.8,-18188.6,-26865.8,-12817.2,-8539.3,93750,-14321
-19041.9,-15947.8,-18191.6,-26868.2,-12814.9,-8540.4,93750,-14321.6
-19043.6,-15954.9,-18193.9,-26870.7,-12810.9,-8539,93750,-14321.3
-19038.4,-15973,-18187.5,-26876.7,-12792,-8526.7,93750,-14311.4
-19029.9,-15983.4,-18185,-26875.2,-12774.4,-8517.9,93750,-14301.9
-19021.7,-15992.6,-18177.5,-26870.4,-12765.2,-8512.1,93750,-14296.5
-19021.2,-15992.6,-18175.9,-26863,-12765.2,-8510.2,93750,-14293.9
-19020.8,-15989.7,-18179,-26857.7,-12765.3,-8509,93750,-14291.5
-19019.8,-15988.5,-18184.6,-26853,-12765.5,-8509.5,93750,-14291.2
-19021.4,-15987,-18179.9,-26851.6,-12767.8,-8512.7,93750,-14293.5
-19022.8,-15987.1,-18177.4,-26854.5,-12772.1,-8517.1,93750,-14296.8
-19015.3,-15992.4,-18174.6,-26862.1,-12776.7,-8517.4,93750,-14298.6
-19010.2,-15993.2,-18170.3,-26864.8,-12776.9,-8517.9,93750,-14301.5
-19010.2,-15990.6,-18169.6,-26861.2,-12777.8,-8517.6,93750,-14301.9
-19009.2,-15987.4,-18170,-26856.5,-12777.9,-8517.2,93750,-14302.7
-19007.6,-15979.2,-18172,-26852.5,-12787.4,-8526.9,93750,-14313.1
-19013,-15973.2,-18178.9,-26852.7,-12796.2,-8530.8,93750,-14317
-19019.1,-15971.8,-18184.2,-26853.2,-12795.5,-8528.8,93750,-14315.3
-19029.7,-15968,-18185.2,-26856.1,-12791.2,-8529.4,93750,-14313.7
-19046.6,-15957.5,-18186,-26854.2,-12777.6,-8524.9,93750,-14303.8
-19044.7,-15960.7,-18178.2,-26850.9,-12777.5,-8523.7,93750,-14304.7
-19037.9,-15964.5,-18169.8,-26847.4,-12781.8,-8525.1,93750,-14308.4
-19030.5,-15965,-18160.5,-26845.1,-12786.3,-8525.3,93750,-14310.1
-19028,-15962.3,-18158.6,-26843.5,-12792.9,-8525.4,93750,-14310.7
-19027.4,-15960.1,-18166.8,-26841.3,-12794.3,-8523.8,93750,-14308.6
-19025.3,-15960,-18175.2,-26843.4,-12792.9,-8523,93750,-14306.1
-19025.4,-15965.2,-18183.8,-26848.7,-12794.1,-8522.5,93750,-14304.3
-19030.3,-15973.4,-18193.7,-26845.1,-12800.3,-8521.1,93750,-14302.6
-19035.7,-15968.4,-18194.2,-26844,-12802.4,-8524.5,93750,-14306.1
-19035.2,-15966.8,-18194.5,-26846.6,-12801,-8524.9,93750,-14308.2
-19031,-15962.8,-18190.1,-26848.4,-12802.3,-8526.7,93750,-14310.7
-19035.9,-15942.2,-18190,-26848,-12819.5,-8539.4,93750,-14322.5
-19034.8,-15939.7,-18186,-26859.8,-12823.9,-8542,93750,-14326
-19033.9,-15945.8,-18183.9,-26871.3,-12817.9,-8539.6,93750,-14324.3
-19033.6,-15953.8,-18186.3,-26876.4,-12810,-8534,93750,-14320.6
-19028.3,-15974.2,-18183.1,-26879.9,-12790.2,-8524,93750,-14311.1
-19023.8,-15987.1,-18178.1,-26877.9,-12773.8,-8519.8,93750,-14304
-19020.8,-15993.9,-18172.3,-26870.4,-12765.9,-8516.3,93750,-14300.7
-19021.7,-15990.9,-18174.1,-26860.2,-12767.1,-8514.9,93750,-14300
-19018.8,-15987.9,-18178.7,-26854.6,-12766.3,-8511.8,93750,-14297.2
-19018.7,-15985.9,-18176.4,-26852.4,-12765.9,-8511.2,93750,-14295.2
-19019.3,-15984.1,-18172.8,-26850.4,-12768,-8511.8,93750,-14294.7
-19020.6,-15984.4,-18173,-26849.1,-12769.6,-8511.9,93750,-14293.8
-19014.8,-15990.6,-18171.8,-26852.2,-12773.4,-8515,93750,-14296.4
-19013.5,-15993.8,-18167.4,-26852.1,-12775.2,-8517.6,93750,-14300.6
-19016.1,-15992.7,-18166.8,-26849.5,-12777.1,-8517.8,93750,-14301.2
-19015.5,-15989.2,-18166.4,-26848.3,-12779.6,-8519.4,93750,-14302.9
-19013.5,-15978.9,-18173.2,-26846.9,-12789.9,-8527.9,93750,-14313.4
-19013.3,-15972,-18175.8,-26849.5,-12797.3,-8528.8,93750,-14315.5
-19015.1,-15971.3,-18179,-26851.9,-12795.8,-8526.5,93750,-14312.9
-19021.3,-15967.3,-18179.3,-26852.3,-12789.5,-8525.8,93750,-14309.5
-19033.9,-15958.2,-18181,-26851.8,-12773.4,-8522.4,93750,-14300.1
-19031.5,-15960.7,-18173.4,-26851.5,-12770.7,-8520.6,93750,-14301.1
-19030.4,-15964.8,-18169,-26852.4,-12774.8,-8522.8,93750,-14306.1
-19028.2,-15965.6,-18168.3,-26850.6,-12778.6,-8521.1,93750,-14307.4
-19026.7,-15960.1,-18168.8,-26845.8,-12785,-8521.9,93750,-14309.9
-19024.6,-15958.2,-18165,-26845.7,-12787.1,-8522.9,93750,-14311.2
-19021.4,-15958.8,-18160.2,-26847.3,-12785.9,-8523.6,93750,-14311
-19019,-15963.3,-18163.6,-26848.1,-12786,-8523.5,93750,-14310.6
-19019.3,-15970.5,-18171.6,-26847.2,-12790.8,-8520.3,93750,-14307.8
-19019.8,-15967.5,-18172.6,-26852.9,-12790.5,-8522.8,93750,-14311
-19021.7,-15968.2,-18176.2,-26856.5,-12788.5,-8523.4,93750,-14312.9
-19025.2,-15965.1,-18180.8,-26856.8,-12789.9,-8523.5,93750,-14313.4
-19035,-15944.8,-18193.1,-26853.7,-12806,-8532.3,93750,-14322.7
-19038.1,-15940.7,-18200.1,-26856.1,-12810.3,-8533.5,93750,-14324.6
-19032.9,-15943.4,-18202.1,-26857.2,-12805.7,-8532.1,93750,-14322.3
-19026.2,-15949.6,-18204,-26858.2,-12799.1,-8530.4,93750,-14320.1
-19016.9,-15970.2,-18193,-26862.6,-12780.4,-8522,93750,-14311.4
-19010.2,-15985.4,-18184.8,-26863.5,-12764.1,-8515.7,93750,-14303.4
-19005.8,-15994.8,-18181.7,-26860.5,-12755.5,-8509.8,93750,-14297
-19008.4,-15993.8,-18178.5,-26855.1,-12759,-8512.2,93750,-14297.6
-19010.7,-15992.9,-18168.7,-26853.3,-12764.9,-8516,93750,-14300.9
-19009.9,-15992.1,-18163.8,-26849.4,-12769.2,-8516.1,93750,-14301.4
-19006.2,-15990.7,-18159,-26846.5,-12771.5,-8515.3,93750,-14300.8
-19004.9,-15992,-18156.3,-26847.5,-12774.3,-8516.3,93750,-14299.8
-18997.7,-15996.7,-18151.2,-26850.8,-12776.3,-8514.2,93750,-14297.7
-18997.3,-15997.4,-18147.6,-26853,-12774.8,-8513.4,93750,-14297.7
-19003.2,-15996.8,-18146.4,-26854.9,-12774.1,-8515.2,93750,-14297.6
-19004.8,-15994.9,-18148.3,-26856.2,-12774.8,-8518.9,93750,-14301.7
-19005.1,-15987,-18153.5,-26855.7,-12785.7,-8529.4,93750,-14315.2
-19007.4,-15980.1,-18157.8,-26856.5,-12794.4,-8532.2,93750,-14321
-19007.5,-15978.4,-18156.3,-26860.8,-12793.6,-8531.3,93750,-14319.7
-19008.9,-15975,-18156.3,-26863.2,-12787.1,-8528.8,93750,-14314
-19020.6,-15965.1,-18161.1,-26861.3,-12770,-8522.1,93750,-14300.3
-19016.7,-15969.2,-18153.8,-26861.9,-12765.9,-8518.4,93750,-14297.9
-19012,-15973.8,-18148.6,-26862.9,-12767.6,-8519,93750,-14299.2
-19008.9,-15975.7,-18149,-26863.8,-12771.3,-8521,93750,-14302.1
-19005.2,-15973.3,-18157.4,-26862.3,-12778.5,-8523.2,93750,-14306.9
-19002.7,-15972.9,-18161.9,-26862.8,-12783.1,-8524.1,93750,-14308.8
-19003.7,-15973.3,-18160.4,-26863.5,-12783.6,-8523.2,93750,-14308.2
-19005.8,-15979,-18158.9,-26864.6,-12784.1,-8520.7,93750,-14305.7
-19008,-15989.5,-18157.2,-26861.3,-12788.2,-8516.7,93750,-14301.7
-19010.8,-15987.8,-18155.8,-26862.1,-12787.2,-8518.5,93750,-14302.9
-19010.9,-15988.2,-18155.7,-26864.1,-12784.7,-8519.2,93750,-14303.8
-19013.4,-15984.6,-18157.7,-26863,-12787.4,-8522,93750,-14306.1
-19024.1,-15964,-18171.9,-26859.2,-12806.4,-8533.3,93750,-14318.3
-19026.5,-15960.4,-18176.8,-26865,-12812.7,-8536.3,93750,-14323.5
-19024.7,-15964.2,-18174.3,-26871.2,-12811.2,-8536.8,93750,-14325.2
-19021.4,-15971.9,-18168.7,-26876,-12806.8,-8534.5,93750,-14323.7
-19011,-15993.2,-18154.5,-26881.6,-12787.2,-8522.7,93750,-14313.5
-19002.2,-16007.6,-18145.8,-26880.8,-12768.7,-8512.7,93750,-14302.6
-19000,-16016.4,-18144.2,-26875.5,-12757.5,-8506.7,93750,-14294.9
-19002.9,-16015.5,-18144.1,-26868.9,-12758.4,-8507.4,93750,-14293.4
-19003.7,-16013.9,-18141,-26866.6,-12760.7,-8510.8,93750,-14295.6
-19004.9,-16012.5,-18142.5,-26864.7,-12763.1,-8512.5,93750,-14297.2
-19006,-16009.6,-18141.9,-26862.1,-12767,-8514.8,93750,-14300.4
-19008.1,-16009.2,-18138.9,-26861.5,-12771.3,-8517.1,93750,-14302.5
-19000.3,-16013.5,-18135.2,-26864.6,-12773.8,-8515.2,93750,-14302.1
-18995.1,-16013.3,-18133.5,-26864.4,-12771.9,-8512.9,93750,-14301.8
-18996.1,-16011,-18134.6,-26861.5,-12770,-8510.7,93750,-14299.2
-18999.2,-16008,-18132.5,-26858.4,-12769.9,-8513.2,93750,-14300.7
-19001.6,-15999.4,-18133.7,-26857.8,-12781.4,-8525.9,93750,-14314.3
-19007.2,-15994.1,-18143.4,-26860.8,-12790.8,-8529,93750,-14319.5
-19012.8,-15994.4,-18150,-26863.5,-12790.4,-8526.3,93750,-14317.4
-19019.2,-15990.7,-18155.2,-26864.7,-12785.1,-8523.7,93750,-14312.9
-19030.4,-15979.7,-18160.8,-26862.3,-12769.1,-8518.7,93750,-14301.5
-19024.1,-15981.1,-18155.2,-26859.5,-12765.4,-8514,93750,-14299.1
-19014.1,-15983,-18154.4,-26858.2,-12766.1,-8510.9,93750,-14299.2
-19009.2,-15984.2,-18156.7,-26858.7,-12767.9,-8509.5,93750,-14298.4
-19008.1,-15984.4,-18154.4,-26860.3,-12772.9,-8511.5,93750,-14299.9
-19010.9,-15985.3,-18151.2,-26863.5,-12777.2,-8515.7,93750,-14302.1
-19011.3,-15986.5,-18154.4,-26864.2,-12779.3,-8516.5,93750,-14303.2
-19011.9,-15990.6,-18163.5,-26862.3,-12781.9,-8515,93750,-14301.9
-19018,-15998.4,-18160.6,-26858.4,-12788.9,-8512.8,93750,-14299.4
-19022.9,-15994.6,-18153.3,-26859.7,-12790.1,-8515.9,93750,-14301.6
-19021.9,-15993.9,-18146.5,-26862.1,-12787.9,-8518.4,93750,-14302.7
-19021.5,-15988.4,-18143.2,-26860.9,-12788.5,-8519.1,93750,-14303.5
-19030.8,-15968.1,-18149.9,-26859.5,-12805.2,-8529.3,93750,-14313.5
-19031.5,-15965.5,-18155.2,-26869.6,-12810.3,-8533.3,93750,-14318.1
-19031.7,-15969.7,-18157.4,-26876,-12807.7,-8534.8,93750,-14319.9
-19033.5,-15976.2,-18158.8,-26878.5,-12803.4,-8531.4,93750,-14319.2
-19029.6,-15994,-18153.3,-26881.1,-12785.6,-8520.9,93750,-14311.2
-19021.2,-16005.2,-18143.3,-26877.6,-12769.3,-8513.9,93750,-14303.2
-19012.6,-16012.9,-18133.3,-26872.3,-12760.6,-8510.3,93750,-14299.5
-19006.7,-16013,-18126.8,-26866.6,-12761.1,-8509.4,93750,-14298.1
-19002.5,-16012.8,-18124.6,-26867,-12761.1,-8509.9,93750,-14297.4
-19000.4,-16012.9,-18124.5,-26867.4,-12761.8,-8510.5,93750,-14297.5
-18998.7,-16012.8,-18127.2,-26866.4,-12764.2,-8512.1,93750,-14298.8
-18999.2,-16014.2,-18133.9,-26867.4,-12767.5,-8513.2,93750,-14299.3
-18994.2,-16018.2,-18137.2,-26870.9,-12771.8,-8511.2,93750,-14298.5
-18995.7,-16016.6,-18138.6,-26868.7,-12772.4,-8508.8,93750,-14298.1
-18998.8,-16012.6,-18141.6,-26863.8,-12771.9,-8507.3,93750,-14296.1
-18996.9,-16009.3,-18141.4,-26862.3,-12770.5,-8506.6,93750,-14295
-18993.8,-16000.9,-18148.9,-26861.1,-12778.5,-8512.9,93750,-14302.6
-18998,-15994.7,-18165.4,-26860.5,-12785,-8512.8,93750,-14302.2
-19003.2,-15993.9,-18178,-26860.8,-12783,-8511.1,93750,-14298.8
-19009.4,-15991.1,-18184.9,-26862.4,-12778.3,-8512.3,93750,-14296
-19023.5,-15981.2,-18182.8,-26859.2,-12765.8,-8512.5,93750,-14288.5
-19021.6,-15983,-18166.1,-26856.1,-12766.7,-8513.8,93750,-14292.4
-19018.5,-15986.5,-18149.9,-26855,-12770,-8513,93750,-14295.8
-19016.6,-15988.3,-18138.9,-26855.4,-12771.7,-8510.8,93750,-14297.2
-19014.7,-15985.3,-18136.6,-26854,-12775.9,-8511.2,93750,-14299.6
-19013.4,-15984.1,-18134,-26855.1,-12777.7,-8513.3,93750,-14301
-19014.6,-15983.7,-18132.4,-26855.9,-12776.8,-8514.5,93750,-14301.8
-19018.1,-15987.8,-18136,-26856.8,-12777.4,-8516.4,93750,-14302.6
-19021.1,-15997.6,-18139.2,-26854.2,-12785.2,-8518.5,93750,-14303.8
-19021.5,-15995.3,-18134.5,-26855.2,-12788.8,-8523.9,93750,-14309.8
