EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
-13300.9,-11581.8,-12028.8,-16401.7,2323.4,5230.5,4003.5,4150.7
-13304.8,-11588.8,-12028.1,-16401.9,2326.9,5228.2,4001.2,4154.8
-13307.7,-11595.3,-12027.6,-16401.9,2328.2,5231.6,4004.4,4163.2
-13310.9,-11597.1,-12028.2,-16401.8,2328.4,5235,4008.7,4166.1
-13310,-11595.9,-12028.6,-16401.4,2328.6,5236.8,4009.8,4166.1
-13309.7,-11596.3,-12029.6,-16401.5,2329.4,5238.7,4010.2,4166.7
-13310.8,-11597.4,-12033.9,-16402.6,2332.4,5239.1,4012.6,4166
-13312,-11596.4,-12036.5,-16404.9,2333.5,5239.7,4014.3,4165.7
-13315.2,-11597.1,-12037.2,-16409.5,2329.8,5237.3,4015,4163.6
-13315.9,-11595.5,-12035.4,-16408,2330.6,5235,4012.3,4159.9
-13318.4,-11595.1,-12038.8,-16406.8,2330.8,5235.8,4011.8,4161.9
-13318,-11596.3,-12039.6,-16406.8,2330.1,5237.2,4012.1,4165.6
-13317.8,-11594,-12034.6,-16405.7,2331,5237.6,4010.7,4165.7
-13320,-11594.3,-12032.8,-16406,2330.3,5239.9,4012.5,4170
-13318.5,-11592.7,-12033.5,-16405.8,2330,5241.2,4014.1,4170.9
-13316.6,-11592.3,-12035,-16405,2329.8,5240.2,4012.7,4171.2
-13316.7,-11593.1,-12038.9,-16403.4,2335,5247.2,4016.5,4180.8
-13317,-11591.4,-12038.9,-16403.6,2334.9,5249.2,4016.2,4181.1
-13314.2,-11590.3,-12037.8,-16403.6,2335.6,5245.9,4015.5,4174.4
-13310.4,-11588.1,-12035.4,-16403.2,2335.9,5243,4014.8,4168.7
-13309.9,-11589.1,-12032.2,-16404.8,2336.9,5244.7,4019.1,4171.6
-13310.5,-11589,-12031.6,-16402.4,2336.6,5244.8,4019.2,4170.3
-13310.6,-11591.3,-12031.1,-16402.1,2333.2,5243.3,4015.2,4168.9
-13309.9,-11593,-12031,-16404,2333.4,5241.8,4014.6,4168.6
-13308.9,-11594.4,-12035.1,-16407.1,2334.3,5244.9,4021.4,4174.4
-13310.1,-11590.7,-12037.1,-16404.6,2334.7,5245.8,4022.5,4173.6
-13310.9,-11590.1,-12036.9,-16402.7,2335,5243.5,4022,4170.3
-13311,-11589.9,-12035.6,-16400.8,2335.5,5241.3,4019.6,4167.1
-13312.6,-11592.8,-12035.1,-16400.8,2332.4,5235.5,4012.7,4158.4
-13313.3,-11596.6,-12036.5,-16404.3,2331.7,5233.9,4010.6,4157.3
-13311.2,-11597.4,-12036.2,-16406.1,2333.2,5234.8,4012.1,4160.6
-13312.1,-11599.4,-12034.3,-16408,2330.5,5234.6,4014,4161.5
-13310.6,-11595.1,-12032.3,-16408.9,2328.5,5229,4008.8,4151.3
-13310,-11596.4,-12032.6,-16410.5,2333,5227.9,4008.2,4151.3
-13311.4,-11596.2,-12033.5,-16408.7,2334,5231.4,4011,4157.7
-13311.1,-11597.4,-12035.8,-16406.9,2330.5,5234,4012.8,4162.2
-13311.3,-11596.4,-12035,-16404.5,2332.3,5237,4016.3,4164.6
-13313.2,-11598.4,-12035.7,-16404.8,2333.6,5239.6,4020.3,4166.5
-13315.8,-11599.2,-12038.6,-16404.6,2334,5240.6,4019.2,4166.3
-13323.2,-11601.4,-12044.5,-16406.1,2336.3,5240.4,4014.2,4162.9
-13325.3,-11609.1,-12051.1,-16411.8,2335.5,5238.2,4011.1,4160.7
-13327.1,-11614.7,-12053,-16413.4,2337.9,5237.2,4011.9,4162.9
-13325.1,-11608.8,-12048.3,-16410.7,2335,5237.4,4016.7,4167.9
-13317.3,-11599.6,-12039.8,-16405.4,2326.7,5238,4021.2,4171.7
-13311.8,-11593.5,-12033.4,-16402.3,2324.3,5240.8,4024.4,4174.6
-13312.4,-11590.3,-12033.6,-16401.1,2325.6,5244.2,4028.5,4175.2
-13311.3,-11589.4,-12036.1,-16399.4,2328.9,5242.8,4028.9,4170.2
-13310.5,-11587.9,-12036.4,-16397.6,2332.3,5244.2,4027.3,4169.5
-13315.6,-11584.7,-12035.6,-16395.2,2337.8,5250.4,4032.6,4178.4
-13314.7,-11577.4,-12031.1,-16395,2334.9,5249.5,4030.6,4177
-13314.7,-11573.2,-12028.5,-16394.9,2333.5,5246.2,4025,4171.1
-13312.5,-11570.1,-12025.9,-16393.8,2334.8,5243.9,4022.2,4168.5
-13308.9,-11568.2,-12022.5,-16392.8,2336.1,5245.4,4026.2,4171.5
-13309.1,-11565.7,-12022.4,-16390.5,2334.6,5247.1,4028.2,4172.5
-13309.4,-11564.5,-12024.1,-16390.7,2336.3,5246.5,4028.6,4170.8
-13307.2,-11563.2,-12024.9,-16393.1,2337,5244.3,4027.9,4168.3
-13308.1,-11566.3,-12026.4,-16392.2,2337,5246.7,4032.7,4173.6
-13309.3,-11562.8,-12026,-16386.8,2338.5,5246.6,4033.2,4171.9
-13307.7,-11557.2,-12024.4,-16382.5,2334.4,5243.3,4029,4168.5
-13309,-11557.3,-12020.9,-16380,2331.3,5241.8,4024.3,4168.7
-13311.7,-11560.1,-12019.4,-16379.4,2326.7,5235.1,4014.3,4160.7
-13311.7,-11564.5,-12021.6,-16382.4,2329,5234,4011.7,4157.3
-13310.1,-11570.5,-12022.4,-16387.2,2333.2,5235.5,4015.6,4158.2
-13307.9,-11572.9,-12020.3,-16388.9,2331.1,5234.4,4015.4,4157.7
-13307.3,-11564.3,-12019.2,-16385.8,2325.7,5227.4,4004.6,4146.7
-13309.4,-11564.8,-12022.8,-16386.1,2326.9,5227.8,4003.3,4150.9
-13309.9,-11569,-12023.4,-16387,2328.4,5231.6,4008.6,4157.8
-13312.8,-11571.9,-12024,-16388.2,2332.3,5236,4015.4,4161.7
-13312.6,-11573.5,-12024.4,-16388.7,2333.1,5238.6,4018.6,4163.1
-13312.5,-11571.3,-12025.5,-16388.8,2331.8,5239.6,4020.5,4165.5
-13312.5,-11568.8,-12028.8,-16388,2333.4,5241,4022.4,4167.8
-13310.9,-11566.5,-12029.9,-16390.5,2329.4,5240.4,4020.8,4165.7
-13310.3,-11566.5,-12028,-16394.1,2322.3,5237.2,4014.3,4161.6
-13312,-11573,-12026.5,-16395.4,2325.8,5235.4,4014,4162.1
-13312.9,-11574.2,-12026.1,-16396.2,2327.8,5236.2,4015,4163.1
-13311.9,-11573.6,-12025.5,-16400.1,2329,5236.5,4014.6,4163.8
-13309.2,-11572.1,-12022.7,-16396.1,2327.7,5236.8,4010.8,4162.4
-13311,-11574.6,-12025,-16393,2327.5,5238.8,4010.6,4165.5
