EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-2685.5,-15.6,-871.8,-2692.4,3667,3836.9,3996.5,1198.4
-2687.3,-17.4,-872.2,-2692.5,3669.4,3836.4,3995.1,1200.5
-2689.1,-18.5,-872.6,-2691.8,3670.7,3837.6,3996.3,1201.8
-2690.1,-20.4,-870.8,-2692.6,3671.8,3838.5,3997.7,1202.5
-2689.4,-19.5,-868.3,-2692.8,3670.5,3839.6,3998,1198.5
-2689.4,-18.2,-868.3,-2693.4,3659.2,3841.6,3996.6,1186.8
-2691.7,-19.3,-872.5,-2694.7,3654.3,3841.3,3996.7,1188.1
-2694.9,-19.9,-874.9,-2696.7,3661.5,3838.8,3996.7,1195.6
-2699.2,-18,-876.2,-2696.2,3665.3,3837.4,3997.5,1200.1
-2699.2,-14.7,-873.9,-2693.4,3655.4,3840.4,4000.2,1197
-2698.2,-15.7,-877,-2694.6,3657,3840.8,4000.6,1197.8
-2695.9,-19,-875.9,-2696.7,3663.6,3840.2,4001.3,1201.3
-2691.7,-20.7,-875.1,-2693.1,3671.1,3838.2,4001.2,1204.5
-2688.2,-20.3,-874.6,-2690.5,3681.9,3836.6,4001.9,1209.6
-2688.6,-18.5,-875.2,-2688.2,3687.8,3837.1,4003.4,1211.3
-2689.1,-17.2,-873.7,-2686.5,3689.3,3839.4,4005.6,1210.6
-2685.8,-15.5,-871.6,-2686.5,3691.5,3839.5,4006.4,1208.6
-2683.1,-13.8,-869.2,-2686.4,3696.6,3840.6,4008.8,1206.9
-2685.7,-11.4,-870.3,-2686.2,3698.7,3842.9,4009.2,1209.9
-2687.7,-9.5,-870.3,-2685.8,3695.1,3846.7,4010.8,1211
-2689.3,-9.6,-868.7,-2683.9,3691.7,3848.8,4011.9,1212.7
-2688,-12.2,-866.3,-2682.5,3693.9,3851.6,4014.2,1218.9
-2686,-12.8,-866,-2681.4,3695.2,3853,4015.9,1221.5
-2681.8,-10.1,-864.9,-2680.7,3693.3,3854.4,4017.9,1219.6
-2680.4,-8.7,-866.2,-2680.5,3695.1,3853.3,4017.7,1221.3
-2680.5,-10.2,-863,-2681.1,3707.4,3851.3,4017.1,1232.2
-2680.4,-11.4,-857.9,-2680.3,3705.9,3854.2,4017.3,1229.5
-2680.9,-9.4,-858.7,-2678.3,3699.8,3856.1,4018,1224.9
-2680.2,-5.7,-860.1,-2677.6,3696.7,3857.3,4018.5,1223.9
-2676.9,-1.7,-858.6,-2677.5,3700.5,3857.8,4019.2,1229.3
-2672.4,-0.1,-855.7,-2678.7,3701.5,3857.2,4018.9,1229.9
-2668.9,-1.3,-854.8,-2678.3,3701.3,3858.9,4020.2,1228.6
-2670.4,-4.2,-853.5,-2679.5,3702.7,3858.3,4020.1,1226.2
-2675.4,-5.9,-854,-2679.9,3702.9,3856.6,4018.8,1222.5
-2676.7,-5.7,-854.1,-2678.4,3701.4,3857.2,4019.2,1220.2
-2675.4,-5.6,-854.2,-2678.9,3699.2,3857.9,4019,1220.1
-2673.6,-3.4,-857.3,-2678.9,3694.8,3857,4016.4,1216.4
-2673,-3.4,-859.1,-2679.4,3677.7,3854.7,4011.2,1199.8
-2672.8,-5.8,-855.3,-2680.6,3667.5,3853.6,4010.8,1196.1
-2674.6,-6.9,-854.4,-2679.1,3670.1,3850.6,4010.3,1199.6
-2675.9,-7.9,-855.1,-2679.3,3672.1,3851,4012.4,1203.3
-2673.2,-2.7,-850.8,-2677.4,3661.2,3854.2,4015.3,1199.7
-2676.4,-3.1,-852.7,-2677.3,3661.1,3853.4,4014.1,1200.8
-2679.2,-4.9,-855.8,-2678.3,3666.5,3853,4013.7,1205.2
-2679.4,-7.4,-858.2,-2679.8,3670.4,3852.4,4012,1207.5
-2678.3,-7.3,-858.9,-2679.7,3674.7,3853.1,4011.6,1210
-2678.8,-7.6,-858.7,-2680.2,3676.5,3854.6,4011.9,1210.5
-2677.1,-7.1,-858.8,-2679.3,3675.9,3855.4,4012.1,1209.9
-2675.5,-6.8,-857.3,-2680,3676.9,3854.9,4012.1,1208
-2673.8,-9.9,-857.5,-2682.4,3682,3852.9,4012.1,1208.2
-2672,-11.5,-857.3,-2684.3,3686.2,3852,4011.6,1211.4
-2672.7,-11.7,-856.3,-2686.3,3685.8,3851.4,4010.6,1211.4
-2673.4,-9.9,-854.7,-2686.1,3683.4,3850.7,4009.7,1212
-2671.5,-9.6,-852.7,-2686.1,3682,3851.3,4009.8,1214.6
-2671.4,-9.8,-852.8,-2685.7,3679.1,3851.3,4009.8,1213.4
-2671.1,-8.4,-852.2,-2682.7,3674.5,3852,4010.7,1209.7
-2672.1,-7.1,-854.3,-2680.1,3673.3,3853,4012.5,1209.6
-2674.5,-8.2,-854.8,-2681.3,3686.1,3851.7,4014.7,1219.5
-2675.5,-7.6,-855.6,-2681.2,3691.4,3853.1,4016.4,1220.2
-2674.9,-8.9,-860.8,-2681.2,3690.5,3855,4018.1,1218.5
-2673.6,-8.4,-860.9,-2680.9,3690.8,3854.1,4017.2,1217.8
-2674.9,-7.4,-858.9,-2680.6,3696.9,3854,4017.4,1224
-2673.1,-5.9,-856.9,-2679.8,3696.4,3855.8,4018.6,1223.9
-2671.6,-3.8,-856,-2678.6,3691.9,3859.6,4020.7,1220.7
-2673.6,-7.1,-856.8,-2681.1,3690.5,3860,4021.3,1219.7
-2675.6,-9.3,-856.4,-2684.2,3689.8,3858.1,4019.8,1218.1
-2677.6,-7.8,-853.4,-2686.9,3690.8,3858.1,4019.3,1218.1
-2679.2,-5.5,-852.5,-2687.3,3691.9,3859.8,4019.5,1219.3
-2681.2,-6.8,-852.1,-2687.7,3689.6,3858.3,4016.8,1217.2
-2682.5,-7.1,-852.4,-2685.4,3674.8,3854.8,4010.6,1202.2
-2682.9,-8,-856.7,-2683.9,3665.2,3852.8,4009.2,1200.5
-2682.7,-9.2,-858.1,-2683.2,3668.5,3850.2,4008.6,1207.5
-2679.5,-9.8,-856.2,-2682.1,3670.1,3849.6,4009.7,1211.9
-2673.5,-8.2,-851.8,-2680.8,3661.2,3852,4012.7,1209
-2670.5,-7.6,-853.1,-2681.1,3665.3,3852.3,4014.1,1210.3
-2673.7,-9.2,-856.4,-2683.2,3676.1,3852,4015.1,1215.1
-2675.6,-9.2,-858.3,-2684.5,3684.8,3853,4015.3,1219.9
-2677.5,-8,-862.4,-2684.5,3693.1,3853.9,4015.7,1225.7
-2683.2,-8.8,-863.4,-2684.7,3696.8,3855.8,4017.1,1226.4
-2683.7,-8.9,-860.6,-2684.3,3696.5,3858.4,4019,1225.8
-2680.8,-8.7,-857,-2684.5,3695.7,3859.1,4019.9,1224.1
-2676.2,-6,-854.7,-2682.8,3698.8,3858.1,4019.9,1223.5
-2671.9,-4.8,-851.9,-2682.7,3702.8,3857.5,4018.4,1225.4
-2668.4,-4.8,-849,-2681.6,3701.7,3858.4,4018.3,1224.1
