EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-5103.3,-3798.8,-9475.6,-7519.6,-6140.8,-1883.8,-4991.4,-7027.5
-5085.9,-3781.2,-9455.5,-7497.7,-6121.3,-1866.2,-4973.3,-7010.8
-5076.1,-3771.4,-9444.8,-7483.2,-6111.3,-1858,-4963.4,-6997.9
-5096.5,-3790,-9460.3,-7490.2,-6127.3,-1876,-4979,-6995
-5111.5,-3806,-9473.8,-7503.3,-6142.8,-1892.2,-4994.3,-7002.6
-5142,-3836.9,-9497.8,-7527.9,-6176.2,-1925.1,-5025.4,-7036.6
-5152,-3845.4,-9511.5,-7541,-6186.2,-1934.1,-5034.4,-7049.4
-5151.1,-3840.6,-9515,-7543,-6186.3,-1933.3,-5034.8,-7047.9
-5126.4,-3814.8,-9493.7,-7528.1,-6165.9,-1909.5,-5013.6,-7038.5
-5103.1,-3793.4,-9462.3,-7498.8,-6142.1,-1885.4,-4988.8,-7016.6
-5084.3,-3778,-9444.1,-7479.3,-6117.9,-1866.1,-4968,-6982.4
-5090.4,-3785.6,-9449.3,-7482.8,-6122,-1872.5,-4972.9,-6972.4
-5104.7,-3798.6,-9461.3,-7493.4,-6134.2,-1885.4,-4985.2,-6977.8
-5133.6,-3826.7,-9486.1,-7514.3,-6159.6,-1912.2,-5011.2,-6990.3
-5148.9,-3842,-9504.6,-7534.5,-6177.7,-1928.8,-5028.8,-7005.3
-5145.5,-3843.2,-9507.5,-7543,-6180.2,-1929.9,-5031.4,-7016
-5132,-3830.7,-9496.2,-7538.4,-6171.6,-1917.6,-5021,-7020.3
-5108.6,-3799.6,-9473.1,-7516.4,-6148.8,-1890.6,-4995.7,-7015.6
-5080.8,-3774.8,-9449.9,-7490.8,-6120.4,-1866,-4970.9,-7000.9
-5075.8,-3774,-9444,-7479.9,-6113.8,-1862.1,-4966,-6990
-5088.2,-3786.9,-9452.1,-7484.5,-6122.9,-1872.1,-4975.2,-6986.4
-5109.9,-3807.2,-9469,-7498.8,-6141.5,-1891.1,-4993.1,-6988.9
-5139,-3834.7,-9494,-7523.8,-6169.5,-1919.1,-5019.8,-7000.3
-5151.6,-3845.7,-9509.5,-7540.9,-6183.8,-1932.3,-5033.8,-7012.9
-5142.8,-3833.7,-9506.4,-7541.5,-6175.4,-1922.7,-5025.2,-7017.4
-5121,-3815,-9490.6,-7533.4,-6155.3,-1903.6,-5006.4,-7011
-5092.6,-3787.1,-9463.1,-7506.9,-6128.4,-1875.2,-4979.9,-6999.6
-5078.9,-3771.3,-9443.7,-7483,-6112.2,-1859.4,-4964.3,-6987.4
-5081.7,-3778.9,-9444.9,-7477.4,-6118,-1865.7,-4969.7,-6981.9
-5092.6,-3791.3,-9459.6,-7484.6,-6127.6,-1875.4,-4979.3,-6977.8
-5121.8,-3818.1,-9485.8,-7504.7,-6151.3,-1900.7,-5002.2,-6984.9
-5142.3,-3840.4,-9508.6,-7528.4,-6173.4,-1922.4,-5022.4,-7000.6
-5144,-3841.8,-9514.6,-7542.4,-6178.7,-1925.2,-5027.2,-7015.2
-5128,-3826.9,-9507.4,-7544.3,-6167.9,-1912.5,-5017.2,-7027.9
-5103.2,-3801.4,-9483.5,-7518.4,-6142.8,-1887.3,-4993.2,-7022.2
-5083.9,-3777.8,-9459.7,-7490.8,-6119.8,-1864.5,-4970.3,-7008.3
-5077.3,-3769.6,-9445.7,-7476.9,-6113.3,-1858.8,-4963.8,-7001.8
-5087.3,-3783.2,-9444.7,-7481.9,-6129.6,-1873.9,-4978.2,-7021.3
-5114,-3808.8,-9463.1,-7497.7,-6150.4,-1897.2,-4999,-7027.3
-5144,-3839.4,-9493.5,-7523.9,-6178.3,-1926.6,-5026.6,-7032.8
-5150.4,-3848.7,-9506.6,-7537.8,-6190.6,-1935.3,-5036.4,-7038.9
-5147.2,-3843.6,-9501.7,-7528.9,-6185.6,-1928.1,-5029.8,-7033.6
-5130.5,-3827.6,-9492.6,-7518.9,-6166.8,-1911.4,-5013.8,-7012.3
-5096,-3794.5,-9466.6,-7501.4,-6137.9,-1881.1,-4986,-6997.8
-5081.1,-3772.7,-9448.2,-7483,-6116,-1859.3,-4964.7,-6988
-5087.7,-3776.3,-9449.6,-7477.4,-6115.5,-1861.3,-4965.3,-6981.5
-5105.4,-3791.7,-9462,-7485.1,-6129.2,-1876.3,-4979,-6982.6
-5142.6,-3825.1,-9491,-7507.1,-6158.2,-1906.7,-5008,-6992.9
-5166.6,-3852.8,-9515.9,-7533.3,-6180.3,-1925.6,-5027.8,-7007.8
-5164.7,-3856.8,-9519.2,-7542.2,-6181.6,-1923.2,-5027.3,-7017
-5151.6,-3848.2,-9512.6,-7539.1,-6167.6,-1910.4,-5015.8,-7017.4
-5119.7,-3823.2,-9492,-7525.9,-6148.6,-1891.9,-4998,-7011.9
-5088,-3788.6,-9465.4,-7501,-6127.2,-1870.6,-4977.6,-7002.1
-5076,-3772.6,-9450.1,-7482.1,-6119.3,-1866.2,-4971.5,-6992.2
-5084.7,-3786.1,-9455.4,-7485.8,-6131.2,-1879,-4982.1,-6991.5
-5103.3,-3807.2,-9469.9,-7499.6,-6147.8,-1897.1,-4998.3,-6996.4
-5132.3,-3835,-9494.4,-7524.3,-6171.3,-1922.5,-5022,-7007.1
-5147.2,-3852.1,-9510.1,-7545.5,-6184.8,-1936.4,-5035.6,-7015.3
-5137.6,-3842.8,-9506.1,-7544.9,-6179.9,-1929.2,-5030.4,-7020.1
-5120.4,-3829.1,-9493.6,-7536.1,-6165.9,-1914.9,-5017.2,-7020.6
-5089.6,-3803.4,-9469.3,-7516.6,-6138.7,-1887.2,-4991.1,-7011.9
-5064.5,-3782.5,-9448.9,-7495.1,-6116.1,-1867.2,-4970.5,-6994.7
-5071.4,-3788.7,-9449,-7489.6,-6119.4,-1872.2,-4973,-6986.6
-5080.4,-3799.5,-9456.1,-7494.6,-6129.8,-1881.2,-4981.6,-6987.4
-5106.1,-3824.8,-9480.6,-7514.3,-6155.8,-1907.8,-5006.4,-6997.8
-5121.4,-3841.7,-9506.8,-7546.6,-6178.2,-1928.4,-5027.9,-7022.2
-5128.6,-3847.8,-9511,-7551.9,-6185.3,-1934.4,-5035.7,-7032.6
-5117.5,-3842.5,-9499.6,-7546.5,-6179,-1927.4,-5029.7,-7034.5
-5091.6,-3823.2,-9476.3,-7530.6,-6159.8,-1907.1,-5010.6,-7034
-5059.9,-3798.4,-9446,-7505,-6139.7,-1885.6,-4990.5,-7044.4
-5061,-3791.6,-9438.2,-7490.3,-6128.5,-1876.9,-4980.7,-7034.2
-5074.1,-3801.3,-9451.6,-7495.9,-6135.2,-1885.7,-4987.6,-7022.8
-5087.1,-3817.3,-9464.4,-7506.2,-6149,-1899.1,-5000.2,-7018.3
-5119.2,-3849.7,-9484.1,-7524.9,-6179.8,-1931.1,-5029.2,-7019.9
-5133.9,-3864.3,-9501.2,-7547.1,-6192.8,-1945.2,-5043.2,-7014.1
-5123.5,-3858.5,-9499.3,-7553.6,-6188.3,-1938.6,-5038.5,-7017.3
-5101.8,-3842.3,-9484.7,-7544.8,-6170,-1919.1,-5020.9,-7021.1
-5077.3,-3818.6,-9461.2,-7523,-6143.6,-1893.5,-4995.7,-7013.6
-5056.6,-3794.8,-9439.5,-7499.8,-6117.7,-1868.2,-4970.2,-7001.6
-5056.4,-3797.2,-9435.5,-7491.1,-6114.8,-1868.4,-4968,-6994
-5071,-3807.8,-9446.4,-7498.2,-6127.5,-1881.3,-4978.9,-6995.3
-5096.6,-3836.5,-9469.3,-7516.6,-6156.5,-1910.2,-5006.3,-7004.5
-5118.1,-3857.5,-9493.7,-7541.5,-6177.7,-1931.1,-5028,-7017.5
-5123.2,-3862.1,-9504.4,-7553.9,-6183.1,-1934.3,-5033.5,-7027.3
-5112.3,-3851.3,-9496.5,-7548.9,-6173,-1924.8,-5024.8,-7029.4
-5093.6,-3830.6,-9476.6,-7533.7,-6152,-1904.6,-5005.2,-7023.8
-5067.7,-3805.5,-9449.9,-7511.2,-6126.3,-1877.9,-4980,-7012.3
-5058,-3796.4,-9435.3,-7493.8,-6113.7,-1865.7,-4967.7,-7001
-5067.8,-3804.3,-9440.5,-7494.6,-6118.5,-1873,-4972.2,-6996.3
-5082.6,-3822.1,-9455.2,-7508.9,-6133,-1890.8,-4987.1,-6995
-5104.9,-3853.5,-9480.9,-7532.9,-6161.5,-1919.2,-5014.5,-7004.7
-5122.2,-3866,-9502.3,-7550.7,-6177.5,-1932.4,-5029.8,-7018.1
-5121.9,-3859.4,-9507.1,-7550.7,-6175.4,-1928.4,-5028.4,-7025.1
-5104.7,-3843.5,-9496.3,-7541.5,-6161.5,-1914.4,-5016.3,-7020
-5075.6,-3814.1,-9467,-7519,-6137,-1888.2,-4991.5,-7010
-5055.8,-3793.7,-9439.6,-7495.2,-6117.7,-1869,-4971.8,-6999
-5057.6,-3797.1,-9437.9,-7491.6,-6120,-1871.3,-4972.5,-6996.5
-5064.1,-3805,-9452.5,-7505,-6129.8,-1879.6,-4981.2,-7006.4
-5089.3,-3829.3,-9471.6,-7513,-6151.6,-1904.1,-5004.1,-7012.3
-5117.5,-3855.6,-9497.7,-7533.1,-6177.5,-1930.5,-5029.4,-7022.6
-5123.5,-3861.7,-9506.9,-7546.6,-6186.6,-1937.2,-5037.8,-7036.4
-5117.9,-3857.2,-9499,-7546.4,-6186.6,-1933.8,-5036.5,-7061
-5096.3,-3833.2,-9477.6,-7531.8,-6160.7,-1906,-5011.2,-7056.8
-5077.7,-3811.7,-9455.3,-7509.9,-6138.2,-1885.7,-4990.7,-7037.5
-5055.9,-3794.1,-9435.1,-7490.5,-6121.7,-1868.5,-4973.6,-7020.1
-5068.2,-3808.6,-9438.3,-7484.1,-6131.4,-1880.7,-4981.9,-7006.2
-5089.5,-3823.4,-9460.5,-7496.7,-6141.6,-1895,-4994.2,-6989.2
-5113,-3847,-9485.9,-7522.1,-6165.2,-1919.4,-5017.8,-6994.7
-5129.6,-3862.3,-9502.1,-7544.9,-6181.9,-1933.6,-5033.6,-7011.1
-5120.6,-3857.7,-9499,-7547.3,-6180.2,-1929.8,-5032,-7020.7
-5106.8,-3848,-9489.3,-7541.5,-6169.7,-1917.6,-5021.3,-7023.2
-5079.4,-3823.8,-9467.8,-7523.7,-6146,-1892.3,-4997,-7016.8
-5053.7,-3795.8,-9442.3,-7498.3,-6123,-1867.1,-4972.4,-7004.5
-5053.9,-3795.1,-9436.5,-7488.3,-6122.3,-1866.9,-4970.6,-6996.4
-5066.6,-3809.5,-9445.6,-7496.1,-6131.1,-1879.4,-4981.3,-6994.8
-5090.9,-3827.9,-9463.9,-7510.2,-6148.5,-1899.4,-4999.7,-7000.2
-5121.1,-3855.5,-9490.5,-7533.9,-6173.8,-1926.6,-5025.7,-7013
-5126.1,-3864.2,-9500.6,-7548.2,-6183.1,-1935.5,-5035.5,-7023.3
-5117,-3855.9,-9494.9,-7547.1,-6176.1,-1925.5,-5028.1,-7027
-5097.6,-3838.2,-9478.4,-7534.3,-6159.4,-1907.8,-5012,-7024
-5066.4,-3808.5,-9450.2,-7508.8,-6128.4,-1876.4,-4981.7,-7011.1
-5054.7,-3795.4,-9435.4,-7490.3,-6111.4,-1861.8,-4966,-6993.6
