Detector 2,,,,,,,,Detector 4,,,,,,,,Detector 6,,,,,,,,Detector 8,,,,,,,,Detector 10,,,,,,,,Detector 12,,,,,,,,Detector 14,,,,,,,,Detector 16,,,,,,,
"RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 ","RED1,2,3,4","IR1,2,3,4 ","RED5,6,7,8","IR5,6,7,8 ","RED9,10,11,12","IR9,10,11,12 ","RED13,14,15,16","IR13,14,15,16 "
27298,65535,4023,208,179,172,170,169,2089,14201,337,165,163,161,157,165,4568,26113,631,319,300,302,297,297,2021,8022,723,687,663,664,662,661,464,467,11488,12418,11566,11440,584,474,520,519,11991,9491,13862,10840,635,533,843,3904,27613,27535,25109,24541,31101,17013,313,1297,24590,23491,25503,27122,30318,15365
27000,65535,3995,209,182,173,171,171,2062,14229,335,164,162,164,161,160,4518,26153,629,316,300,299,298,303,2007,8036,732,686,663,667,658,662,467,469,11510,12455,11585,11473,583,475,523,523,12043,9548,13929,10920,635,536,1059,3927,27667,27611,25146,24602,31140,17040,490,1309,24619,23530,25535,27180,30344,15385
27050,65535,4036,211,181,174,171,171,2066,14265,337,170,162,161,161,158,4526,26207,634,314,301,298,300,299,2008,8045,729,687,662,661,665,661,468,471,11530,12499,11605,11507,587,477,523,528,12083,9600,13991,10994,639,537,1062,3943,27717,27683,25185,24668,31167,17070,491,1315,24654,23574,25569,27241,30371,15412
27097,65535,3997,210,180,174,170,170,2069,14299,337,167,163,163,162,160,4532,26268,631,313,305,299,300,303,2014,8062,723,688,664,667,670,663,468,471,11560,12541,11625,11543,587,481,525,526,12135,9659,14053,11073,642,542,1067,3959,27775,27774,25231,24739,31206,17098,488,1319,24689,23623,25607,27316,30397,15434
27150,65535,4042,208,181,174,173,174,2075,14338,339,167,163,165,158,163,4542,26341,637,314,300,301,297,305,2012,8076,731,692,667,664,665,662,469,474,11587,12591,11652,11587,593,479,530,529,12187,9725,14122,11167,646,543,1067,3975,27835,27865,25285,24822,31251,17129,494,1323,24741,23691,25654,27406,30434,15458
27209,65535,4005,212,183,175,171,171,2076,14375,337,166,163,165,160,163,4549,26411,637,314,300,301,299,299,2015,8091,729,691,665,668,663,661,469,474,11618,12637,11673,11616,589,478,533,532,12231,9767,14159,11172,645,541,1072,3994,27905,27959,25329,24877,31293,17151,498,1327,24777,23739,25700,27463,30467,15473
27190,65535,4040,211,181,175,174,171,2072,14335,338,166,161,162,159,161,4550,26322,635,316,302,301,299,302,2019,8088,731,688,661,663,663,661,469,473,11601,12580,11646,11530,586,476,528,525,12083,9566,13887,10823,633,535,1073,3979,27947,27948,25300,24791,31295,17135,498,1322,24832,23767,25676,27350,30454,15445
27137,65535,3993,205,181,174,171,169,2068,14276,335,169,163,163,158,162,4538,26216,634,314,299,300,300,302,2015,8063,726,687,662,665,663,659,465,471,11593,12543,11620,11487,585,477,519,522,11993,9471,13776,10708,631,531,1069,3959,27985,27954,25289,24749,31287,17125,496,1319,24867,23771,25645,27287,30443,15429
27127,65535,4033,210,181,175,172,170,2070,14254,338,169,163,165,160,161,4533,26166,634,313,302,299,299,299,2012,8051,730,686,663,662,662,659,465,468,11588,12535,11604,11461,585,478,519,519,11974,9443,13739,10673,629,529,1069,3955,28013,27966,25278,24722,31286,17125,495,1316,24900,23781,25629,27245,30436,15421
27134,65535,3990,211,181,178,171,171,2070,14252,341,166,163,162,161,164,4534,26158,629,315,302,300,299,299,2009,8046,726,686,662,660,665,659,467,469,11610,12553,11610,11471,584,475,518,517,12011,9485,13794,10737,631,531,1071,3957,28047,28011,25296,24753,31301,17128,497,1318,24918,23795,25631,27268,30447,15430
