EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-8703.2,-5206.7,-12470,-11200.8,-4400,-3677.1,-3409.4,-3892.5
-8713.2,-5212.6,-12485.4,-11210.7,-4404.8,-3680.4,-3417.1,-3901.2
-8723.3,-5219.8,-12503.3,-11220.9,-4408.5,-3683.6,-3423.7,-3909.2
-8727.4,-5228.3,-12511.3,-11229.2,-4408.1,-3685.4,-3425.1,-3911.7
-8721.6,-5229.9,-12496.4,-11221.5,-4408.3,-3686.3,-3422.9,-3908.4
-8712.1,-5223.3,-12470.2,-11210.2,-4408.1,-3688.1,-3420,-3907.1
-8701.2,-5214.2,-12444.4,-11200.2,-4399.1,-3682.9,-3406.8,-3895
-8696,-5211.8,-12436.1,-11197.5,-4396.6,-3680.4,-3402.9,-3889.9
-8699.7,-5211.1,-12444.5,-11202.9,-4401.6,-3681.9,-3409.4,-3895.1
-8708.5,-5212.7,-12460.3,-11209.5,-4406.5,-3684.6,-3416.8,-3902.9
-8720.2,-5219.5,-12488.8,-11215.8,-4411.6,-3689.2,-3426,-3912.1
-8727.8,-5225.4,-12506.7,-11218.1,-4416.3,-3692.6,-3432.5,-3919.4
-8726.6,-5228,-12503.7,-11220.8,-4416,-3693,-3430.9,-3918.2
-8720,-5222.5,-12486.9,-11225.9,-4412.5,-3691.7,-3425.2,-3912.5
-8710.2,-5210.6,-12466.2,-11221.6,-4409.9,-3689.3,-3419.4,-3904.1
-8706.9,-5202.8,-12453.7,-11209.3,-4404.1,-3685.7,-3412,-3896.7
-8703.3,-5203.3,-12453.5,-11202.6,-4403.5,-3684.5,-3411.2,-3895.6
-8708.8,-5216.5,-12471.3,-11204.2,-4407.1,-3684.8,-3415.6,-3898.6
-8718.6,-5227.3,-12491.3,-11210.9,-4411.9,-3687.9,-3424.7,-3907.9
-8726.4,-5230.6,-12507.1,-11218.4,-4417.1,-3691.3,-3432.8,-3916.6
-8730.8,-5231,-12513.9,-11228.2,-4418.1,-3693.2,-3434.7,-3919.4
-8727.7,-5223.3,-12505.5,-11230.4,-4415.4,-3693.1,-3430.9,-3915.7
-8719.3,-5220.1,-12487.6,-11217.8,-4411.7,-3690.9,-3423.6,-3908.9
-8708,-5218.6,-12468.2,-11203.7,-4405.4,-3687.5,-3414.6,-3900.4
-8701.8,-5213.1,-12457.3,-11200.5,-4400.7,-3684.2,-3410,-3895
-8705.9,-5209.9,-12465.3,-11207.8,-4402.8,-3684.2,-3413.4,-3897.1
-8713.1,-5210.9,-12479.4,-11212,-4407.6,-3687.3,-3419.4,-3904.8
-8720.9,-5211.9,-12495.9,-11216.6,-4415,-3691.5,-3429.3,-3914.5
-8726.7,-5214.9,-12507.3,-11221.9,-4417.6,-3694,-3433.4,-3920.8
-8726,-5220.4,-12504.4,-11219.4,-4417.4,-3693.9,-3432.1,-3918.5
-8719.7,-5222.5,-12490.6,-11214,-4414.3,-3691.6,-3426.2,-3912.8
-8712,-5221.6,-12472.4,-11211,-4408.1,-3688.2,-3417.6,-3904.4
-8703.3,-5213.9,-12460,-11204.1,-4407.1,-3685.7,-3413,-3896.7
-8700.8,-5204.3,-12469.3,-11204.5,-4405.1,-3684.2,-3410.5,-3894.6
-8706.5,-5201,-12480.3,-11214,-4409.4,-3686.8,-3417.3,-3902.6
-8715.1,-5203.9,-12493.6,-11218.6,-4411.9,-3688.5,-3422.8,-3909.8
-8726.4,-5210.5,-12506.5,-11222.9,-4417.8,-3691.5,-3431.1,-3918.7
-8729.3,-5218.3,-12501.2,-11228.2,-4427.4,-3697.1,-3439.6,-3925.9
-8723.8,-5219.8,-12487.9,-11224.5,-4419.7,-3693.1,-3430.4,-3918.4
-8714.2,-5216.9,-12472,-11215,-4413.2,-3689.2,-3422.1,-3908.9
-8705.1,-5214.3,-12454.1,-11200.4,-4407.1,-3684.7,-3413.1,-3899.6
-8701.5,-5222.3,-12444.7,-11189.9,-4401.8,-3679.9,-3407,-3894.4
-8704.9,-5227.3,-12453.7,-11192.3,-4405.4,-3682,-3412.9,-3898.8
-8712.4,-5227.4,-12467.8,-11199.3,-4412.6,-3686,-3421.6,-3906.4
-8721.4,-5225.8,-12486.2,-11207.9,-4417.7,-3689.6,-3429.5,-3914.9
-8726.5,-5224.7,-12499.6,-11217,-4421.4,-3693,-3435.5,-3921.2
-8724.6,-5219.8,-12500,-11221.5,-4421.1,-3693.3,-3434.7,-3920
-8720,-5211.8,-12488.8,-11215.1,-4416.5,-3691.1,-3428.4,-3913.6
-8712.4,-5205.3,-12472.3,-11207.9,-4411.6,-3688.2,-3420.6,-3904.9
-8702.3,-5198.6,-12459.2,-11201.4,-4405.1,-3683.6,-3411.2,-3894.7
-8701,-5197.1,-12456,-11199.9,-4405.7,-3683.3,-3412,-3895.6
-8706.3,-5198.7,-12463.8,-11207.1,-4410,-3685.5,-3417.6,-3901.8
-8714.2,-5200.7,-12477.8,-11216.6,-4414.9,-3688.4,-3425,-3909.9
-8724,-5206.5,-12496.7,-11225.5,-4420.7,-3692.1,-3434,-3919
-8727.7,-5213.5,-12505.5,-11228,-4422.8,-3694.2,-3436.4,-3922
-8723.5,-5216,-12497.8,-11220.1,-4419.6,-3692.6,-3431.7,-3917.5
-8714.5,-5212.1,-12481.6,-11207.6,-4412.9,-3688.5,-3423.1,-3908.6
-8704.2,-5206.5,-12464.3,-11197.9,-4404.5,-3683.5,-3413.8,-3898.4
-8697.5,-5204.4,-12453.2,-11192.9,-4399.8,-3680.9,-3407.8,-3893.1
-8697.8,-5206.1,-12453.8,-11194.4,-4403.4,-3681.9,-3411.2,-3895.5
-8703,-5209.7,-12464.1,-11200.3,-4407.2,-3684.2,-3417.3,-3901.8
