EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
0,0,0,0,0,0,0,0
-7348.5,-6303.1,20099.5,-5207.2,13143.4,-1798.6,-2354.5,-3242.6
-7339.1,-6293,20094,-5194.6,13141.1,-1776.5,-2339,-3233.4
-7333.9,-6287.2,20088.5,-5184.5,13139,-1764.1,-2324.5,-3225.8
-7335.8,-6290.8,20086.7,-5184.2,13138.9,-1769.8,-2319.6,-3224.5
-7339.6,-6297.2,20085.1,-5189.4,13138.1,-1782.3,-2323.3,-3228.7
-7336.1,-6307.9,20077.2,-5208,13116.2,-1814.2,-2345.6,-3256.4
-7333.7,-6314.7,20073,-5221.2,13096,-1823.2,-2359.4,-3271.6
-7335.5,-6318.7,20075.3,-5223.1,13094.4,-1821.7,-2362,-3268.5
-7334.4,-6312.1,20076.9,-5213,13094.5,-1807.3,-2355,-3258.5
-7337.9,-6300.6,20082.1,-5190.8,13096,-1781.9,-2335.4,-3240.3
-7330.8,-6296.3,20082.9,-5179.3,13101.7,-1765.3,-2322.6,-3226.1
-7328.1,-6300.7,20081.8,-5179.4,13104.8,-1761.4,-2313.9,-3221
-7335.1,-6307.6,20082,-5184.5,13106.7,-1772.8,-2314.8,-3221.5
-7339,-6318.9,20083,-5198.5,13104.1,-1789.8,-2323.6,-3227.1
-7348.1,-6331.1,20086.8,-5213.7,13105,-1813.5,-2339.2,-3234.9
-7351,-6335.3,20091.3,-5217.1,13108.7,-1826,-2353.5,-3237.4
-7347.5,-6333,20092.8,-5220.1,13106.3,-1819.5,-2358.2,-3236
-7330.5,-6321,20088.5,-5218.8,13087.5,-1796,-2350.6,-3236.9
-7320.2,-6312.1,20084,-5203.4,13083.1,-1770.3,-2335.5,-3228.7
-7316.2,-6308.9,20080.9,-5192.5,13083.9,-1757.3,-2322,-3220.9
-7321,-6312.1,20080.7,-5189.3,13087.4,-1764.4,-2317.9,-3218.9
-7330,-6320.7,20084.2,-5193.7,13094.6,-1785.2,-2324.6,-3221
-7340.4,-6331.1,20089,-5205.3,13100.1,-1812.1,-2338.2,-3228.3
-7346.7,-6338.6,20093.7,-5215.6,13104.8,-1831.1,-2353.4,-3234.2
-7350.1,-6337.3,20095.7,-5217.6,13109.4,-1830.5,-2361.5,-3233.5
-7358.3,-6331,20097.3,-5212.2,13124.2,-1816.6,-2357.5,-3221.3
-7353,-6319.4,20097.2,-5200.5,13134.3,-1800.1,-2349.3,-3209.8
-7342.8,-6309.4,20092.8,-5188.7,13135.1,-1777.3,-2336.3,-3201.7
-7341.6,-6310.3,20088.7,-5184.1,13136.4,-1765.4,-2323.7,-3197.1
-7352.4,-6322.6,20092.3,-5189,13148.9,-1777.1,-2320.2,-3194.8
